cost,SR,data,y,operation_time,time
tensor(1.),1.8837556064128878,"[0.2411293908954, -0.7849842365831, 0.2668785210699]",0.3162443935871124,5.888938903808594e-05,3.790855407714844e-05
tensor(4.),1.6338095784187319,"[-0.3873949125409, 0.5572137143463, 0.5327035477385]",0.5661904215812683,4.100799560546875e-05,2.384185791015625e-05
tensor(10.),1.134155583381653,"[0.9493397977203, -0.3294044602662, 0.8018118236214]",1.0658444166183472,3.695487976074219e-05,2.5033950805664062e-05
tensor(11.),1.134155583381653,"[-0.6779952738434, 0.0703571457416, 0.0051106689498]",0.17949479818344116,3.600120544433594e-05,2.9087066650390625e-05
tensor(12.),0.635049891471863,"[0.7443916834891, 0.7567376065999, 0.188362441957]",1.5649501085281372,3.600120544433594e-05,3.504753112792969e-05
tensor(21.),0.635049891471863,"[-0.8750994168222, -0.5308949071914, 0.985197157599]",0.07182703912258148,3.409385681152344e-05,4.00543212890625e-05
tensor(26.),0.635049891471863,"[0.4381902907044, 0.3637531753629, 0.7232843525708]",0.8141352534294128,3.3855438232421875e-05,5.1975250244140625e-05
tensor(28.),0.635049891471863,"[-0.1825529839844, -0.106687149033, 0.4575851680711]",0.1287337988615036,3.409385681152344e-05,5.1021575927734375e-05
tensor(30.),0.635049891471863,"[0.8005146756768, 0.4629319999367, 0.3993627736345]",1.3102883100509644,3.409385681152344e-05,5.602836608886719e-05
tensor(34.),0.635049891471863,"[-0.5721502527595, -0.1907274071127, 0.6648220643401]",0.05142759159207344,3.361701965332031e-05,6.175041198730469e-05
tensor(42.),0.635049891471863,"[0.0090912934393, 0.9146398287266, 0.9342813016847]",1.1311899423599243,3.2901763916015625e-05,6.794929504394531e-05
tensor(43.),0.635049891471863,"[-0.3623844031245, -0.6736584436148, 0.1372134573758]",0.025547651574015617,3.409385681152344e-05,7.200241088867188e-05
tensor(44.),0.635049891471863,"[0.3115894980729, -0.4992600958794, 0.0716247847304]",0.3303389847278595,3.3855438232421875e-05,8.511543273925781e-05
tensor(51.),0.635049891471863,"[-0.0676672272384, 0.2250780295581, 0.8685820456594]",0.35732489824295044,3.2901763916015625e-05,8.606910705566406e-05
tensor(55.),0.635049891471863,"[0.5057543162256, -0.8883191142231, 0.6065624235198]",0.5821666717529297,3.1948089599609375e-05,0.00010800361633300781
tensor(57.),0.635049891471863,"[-0.8747545834631, 0.6454137209803, 0.3409848306328]",0.7272067070007324,3.2901763916015625e-05,9.703636169433594e-05
tensor(59.),0.635049891471863,"[0.5892226919532, -0.1312338989228, 0.3735214127228]",0.6621972322463989,3.2901763916015625e-05,9.989738464355469e-05
tensor(62.),0.635049891471863,"[-0.7822530046105, 0.4054221939296, 0.5764540154487]",0.45072805881500244,3.1948089599609375e-05,0.00010704994201660156
tensor(68.),0.635049891471863,"[0.3453677501529, -0.7392564211041, 0.8381150877103]",0.3869451582431793,3.314018249511719e-05,0.00011491775512695312
tensor(69.),0.635049891471863,"[-0.0272971782833, 0.9821603540331, 0.1035738717765]",1.2111237049102783,3.218650817871094e-05,0.00011587142944335938
tensor(70.),0.635049891471863,"[0.0859012342989, 0.1595115158707, 0.1717182742432]",0.3901178240776062,3.409385681152344e-05,0.00012230873107910156
tensor(78.),0.635049891471863,"[-0.2946076653898, -0.4317099992186, 0.9061411879957]",0.02442476712167263,3.3855438232421875e-05,0.00012993812561035156
tensor(82.),0.553145480155945,"[0.8564581070095, 0.704877672717, 0.6362928235903]",1.6468545198440552,3.314018249511719e-05,0.00013303756713867188
