cost,SR,data,y,operation_time,time
tensor(1.),12.64031982421875,"[0.6205646954477, 0.1075078817084, 0.2668785210699]",42.35968017578125,6.103515625e-05,4.601478576660156e-05
tensor(4.),12.64031982421875,"[0.3063025437295, 0.7786068571731, 0.5327035477385]",41.67987060546875,4.792213439941406e-05,3.1948089599609375e-05
tensor(10.),12.64031982421875,"[0.9746698988602, 0.3352977698669, 0.8018118236214]",33.336326599121094,4.696846008300781e-05,2.5033950805664062e-05
tensor(11.),8.357887268066406,"[0.1610023630783, 0.5351785728708, 0.0051106689498]",46.642112731933594,4.57763671875e-05,3.0040740966796875e-05
tensor(12.),8.357887268066406,"[0.8721958417445, 0.8783688033, 0.188362441957]",30.857969284057617,4.57763671875e-05,3.504753112792969e-05
tensor(21.),3.3067169189453125,"[0.0624502915889, 0.2345525464043, 0.985197157599]",51.69328308105469,4.506111145019531e-05,3.981590270996094e-05
tensor(26.),3.3067169189453125,"[0.7190951453522, 0.6818765876815, 0.7232843525708]",35.2060546875,4.291534423828125e-05,4.57763671875e-05
tensor(28.),3.3067169189453125,"[0.4087235080078, 0.4466564254835, 0.4575851680711]",43.06109619140625,4.291534423828125e-05,5.030632019042969e-05
tensor(30.),3.3067169189453125,"[0.9002573378384, 0.7314659999683, 0.3993627736345]",31.493816375732422,0.00010204315185546875,5.626678466796875e-05
tensor(34.),3.3067169189453125,"[0.2139248736203, 0.4046362964436, 0.6648220643401]",47.05929183959961,6.699562072753906e-05,6.198883056640625e-05
tensor(42.),3.3067169189453125,"[0.5045456467196, 0.9573199143633, 0.9342813016847]",36.660377502441406,5.0067901611328125e-05,6.723403930664062e-05
tensor(43.),3.3067169189453125,"[0.3188077984378, 0.1631707781926, 0.1372134573758]",47.661216735839844,4.506111145019531e-05,7.200241088867188e-05
tensor(44.),3.3067169189453125,"[0.6557947490364, 0.2503699520603, 0.0716247847304]",40.281768798828125,4.291534423828125e-05,7.891654968261719e-05
tensor(51.),3.3067169189453125,"[0.4661663863808, 0.612539014779, 0.8685820456594]",40.42015075683594,4.291534423828125e-05,8.511543273925781e-05
tensor(55.),3.3067169189453125,"[0.7528771581128, 0.0558404428884, 0.6065624235198]",40.231040954589844,4.100799560546875e-05,8.916854858398438e-05
tensor(57.),3.3067169189453125,"[0.0626227082685, 0.8227068604901, 0.3409848306328]",45.370723724365234,4.100799560546875e-05,9.703636169433594e-05
tensor(59.),3.3067169189453125,"[0.7946113459766, 0.4343830505386, 0.3735214127228]",35.933372497558594,4.076957702636719e-05,9.918212890625e-05
tensor(62.),3.3067169189453125,"[0.1088734976947, 0.7027110969648, 0.5764540154487]",45.816444396972656,4.315376281738281e-05,0.00010585784912109375
tensor(68.),3.3067169189453125,"[0.6726838750765, 0.130371789448, 0.8381150877103]",41.105377197265625,4.076957702636719e-05,0.00011014938354492188
tensor(69.),3.3067169189453125,"[0.4863514108583, 0.9910801770166, 0.1035738717765]",36.68254089355469,4.100799560546875e-05,0.00012183189392089844
tensor(70.),3.3067169189453125,"[0.5429506171495, 0.5797557579353, 0.1717182742432]",39.32783508300781,4.00543212890625e-05,0.000125885009765625
tensor(78.),3.3067169189453125,"[0.3526961673051, 0.2841450003907, 0.9061411879957]",45.746070861816406,4.1961669921875e-05,0.00013184547424316406
tensor(82.),3.3067169189453125,"[0.9282290535048, 0.8524388363585, 0.6362928235903]",30.05417823791504,4.1961669921875e-05,0.00013589859008789062
tensor(84.),3.3067169189453125,"[0.2386006908491, 0.0270698005334, 0.4332496374846]",50.69613265991211,4.100799560546875e-05,0.0001361370086669922
tensor(87.),3.3067169189453125,"[0.7021745480597, 0.8123667025939, 0.4919679425657]",34.41878890991211,4.100799560546875e-05,0.00014090538024902344
tensor(88.),1.0514907836914062,"[0.0576114984434, 0.046798243928, 0.0813649769241]",53.948509216308594,0.00013685226440429688,0.00014734268188476562
tensor(89.),1.0514907836914062,"[0.0527102984617, 0.146545562376, 0.0879349154245]",52.88077926635742,5.5789947509765625e-05,0.00015497207641601562
tensor(90.),0.7440452575683594,"[0.0431964420713, 0.0439797253595, 0.1218868678352]",54.25595474243164,4.673004150390625e-05,0.00016617774963378906
tensor(91.),0.7440452575683594,"[0.0313825231346, 0.0789156847007, 0.0643609256371]",54.069129943847656,4.601478576660156e-05,0.00016927719116210938
tensor(92.),0.7440452575683594,"[0.0136909008689, 0.2201399372262, 0.0716656990882]",52.756866455078125,4.792213439941406e-05,0.00017309188842773438
