cost,SR,operation_time
60.0,0.041482450000000004,122.22244358062744
70.0,0.033,128.65654397010803
80.0,0.033,130.54507112503052
90.0,0.033,135.20653414726257
100.0,0.033,145.76217365264893
110.0,0.033,155.28701186180115
120.0,0.033,183.8316731452942
130.0,0.033,182.3177502155304
140.0,0.033,191.0789966583252
